"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"RICHMOND NATURE PARK","BC"," 49°10'15.000"" N","123°05'35.000"" W","3.0 m","1106PF7","",""

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Date (yyyy/dd)","1982/22","1995/14","1991/01","1981/11","1977/01","1977/01","1977/01","1977/01","1977/01","1984/31","2006/26","1998/23",""," "
"Extreme Daily Precipitation (mm)","61.0","47.8","51.4","40.4","32.0","37.4","32.6","44.4","40.4","93.8","54.2","74.2","",""
"Date (yyyy/dd)","2005/18","1982/13","1997/18","1997/19","1989/17","1984/28","1995/25","1991/29","1986/22","2003/16","1980/20","1979/16",""," "
"Extreme Snow Depth (cm)","24","26","16","0","0","0","0","0","0","0","5","17","",""
"Date (yyyy/dd)","1982/23","1990/16","1991/02","1981/11","1981/01","1981/01","1981/01","1980/01","1981/01","1981/01","1985/27","1980/06",""," "
"Days with Maximum Temperature"
"<= 0 °C","1.2","0.30","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.64","1.4","3.5","C"
"> 0 °C","29.8","27.9","31.0","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.4","29.6","361.7","C"
"> 10 °C","4.3","9.0","22.4","27.7","30.9","30.0","31.0","31.0","30.0","28.6","10.8","2.6","258.3","C"
"> 20 °C","0.0","0.0","0.08","2.5","9.1","18.3","26.9","27.3","14.5","0.95","0.0","0.0","99.5","C"
"> 30 °C","0.0","0.0","0.0","0.0","0.04","0.35","1.4","0.83","0.08","0.0","0.0","0.0","2.7","C"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"Days with Minimum Temperature"
"> 0 °C","18.2","16.2","22.9","27.9","30.9","30.0","30.9","31.0","30.0","29.3","22.3","15.8","305.3","C"
"<= 2 °C","17.9","16.9","14.2","6.7","0.70","0.0","0.0","0.0","0.42","4.8","12.4","20.4","94.4","C"
"<= 0 °C","12.8","12.0","8.1","2.1","0.0","0.0","0.0","0.0","0.0","1.7","7.7","15.2","59.6","C"
"< -2 °C","6.2","6.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.43","3.3","7.0","24.8","C"
"< -10 °C","0.85","0.26","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.33","0.41","1.9","C"
"< -20 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"Days with Rainfall"
">= 0.2 mm","19.9","15.4","19.3","16.6","14.7","12.6","7.9","7.2","9.1","17.1","21.5","19.1","180.4","C"
">= 5 mm","10.2","7.1","7.7","6.3","5.3","3.9","2.2","2.4","3.6","7.6","11.6","10.2","77.9","C"
">= 10 mm","6.0","4.0","3.6","3.5","2.1","2.0","1.3","1.3","2.2","4.5","7.3","6.0","43.8","C"
">= 25 mm","1.4","0.67","0.38","0.46","0.21","0.36","0.16","0.32","0.28","0.75","1.8","1.2","7.9","C"
"Days With Snowfall"
">= 0.2 cm","2.0","1.3","0.77","0.04","0.0","0.0","0.0","0.0","0.0","0.08","0.64","2.2","7.1","C"
">= 5 cm","0.96","0.44","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.16","0.69","2.4","C"
">= 10 cm","0.52","0.30","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.31","1.3","C"
">= 25 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"Days with Precipitation"
">= 0.2 mm","20.9","16.1","19.4","16.6","14.7","12.6","7.9","7.2","9.1","17.2","21.9","20.3","183.8","C"
">= 5 mm","11.1","7.6","7.8","6.3","5.3","3.9","2.2","2.4","3.6","7.6","11.8","10.9","80.3","C"
">= 10 mm","6.6","4.4","3.7","3.5","2.1","2.0","1.3","1.3","2.2","4.5","7.4","6.5","45.4","C"
">= 25 mm","1.4","0.67","0.46","0.46","0.21","0.36","0.16","0.32","0.28","0.75","1.8","1.2","8.0","C"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.1","0.0","0.0","0.0","0.0","0.3","C"
"Above 18 °C","0.0","0.0","0.0","0.0","1.3","8.8","30.7","28.8","3.8","0.0","0.0","0.0","73.3","C"
"Above 15 °C","0.0","0.0","0.0","0.5","13.7","45.3","102.5","101.6","29.0","0.5","0.0","0.0","293.1","C"
"Above 10 °C","0.7","0.8","4.2","28.8","108.8","182.9","255.9","255.6","149.7","37.6","3.6","0.1","1028.7","C"
"Above 5 °C","29.1","33.4","77.6","148.4","261.3","332.9","410.9","410.6","299.4","164.5","56.6","19.2","2243.8","C"
"Above 0 °C","135.2","144.2","225.7","298.3","416.3","482.9","565.9","565.6","449.4","317.9","184.7","112.9","3898.9","C"
"Below 0 °C","13.0","4.5","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.1","5.9","10.7","34.4","C"
"Below 5 °C","61.8","34.9","7.2","0.1","0.0","0.0","0.0","0.0","0.0","1.7","27.8","71.9","205.4","C"
"Below 10 °C","188.5","143.4","88.8","30.4","2.5","0.0","0.0","0.0","0.3","29.8","124.9","207.9","816.5","C"
"Below 15 °C","342.8","283.8","239.6","152.1","62.4","12.5","1.5","1.1","29.6","147.7","271.3","362.8","1907.0","C"
"Below 18 °C","435.8","368.5","332.6","241.7","143.1","65.9","22.8","21.2","94.4","240.2","361.3","455.8","2783.0","C"


"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","May 02","Apr 25","Apr 21","Apr 14","Apr 04","Mar 30","Mar 25"
"Probability of first temperature in fall of 0 °C or lower on or before indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Oct 10","Oct 17","Oct 19","Oct 28","Nov 04","Nov 07","Nov 14"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","165","179","180","191","210","223","229"
